Status: HighsModelStatus.kTimeLimit
Objective: 80.00000000000084
Duration: 2400.04s

W_5_1_1_0 1.0
W_5_1_2_0 1.0
W_5_2_0_0 1.0
W_5_2_0_1 1.0
W_5_2_0_2 1.0
W_5_2_1_0 1.0
W_5_2_1_1 1.0
W_5_2_1_2 1.0
W_5_2_2_0 1.0
W_5_2_2_1 1.0
W_5_2_2_2 1.0
W_5_3_0_0 1.0
W_5_3_1_0 1.0
W_5_3_1_1 1.0
W_5_3_2_0 1.0
W_5_3_2_1 1.0
W_5_4_0_0 1.0
W_5_4_0_1 1.0
W_5_4_1_0 1.0
W_5_4_1_1 1.0
W_5_4_2_0 1.0
W_5_4_2_1 1.0
X_0_0_0_14 1.0000000000000597
X_1_0_1_4 1.0
X_2_0_0_27 1.0
X_2_1_1_1 0.9999999999999987
X_2_2_0_4 0.9999999999999997
X_3_0_1_5 1.0
X_4_0_1_12 1.0
X_4_1_0_9 1.0
X_5_0_1_4 1.0
Y_0_2_0_2 1.0
Y_0_4_0_1 1.0
Y_1_3_0_0 1.0
Y_1_5_0_0 1.0
Y_2_0_2_0 1.0
Y_2_4_1_0 1.0
Y_2_4_2_1 1.0
Y_3_1_0_0 1.0
Y_3_5_0_0 1.0
Y_4_0_1_0 1.0
Y_4_2_0_1 1.0
Y_4_2_1_2 1.0
Y_5_1_0_0 1.0
Y_5_3_0_0 1.0
Z_0_1_0_0 1.0
Z_0_1_0_1 1.0
Z_0_1_0_2 1.0
Z_0_1_1_1 1.0
Z_0_1_1_2 1.0
Z_0_1_2_1 1.0
Z_0_1_2_2 1.0
Z_0_2_0_0 1.0
Z_0_2_0_1 1.0
Z_0_3_0_0 1.0
Z_0_3_0_1 1.0
Z_0_3_0_2 1.0
Z_0_3_1_1 1.0
Z_0_3_1_2 1.0
Z_0_3_2_1 1.0
Z_0_3_2_2 1.0
Z_0_4_0_0 1.0
Z_0_4_0_2 1.0
Z_0_4_1_2 1.0
Z_0_5_0_0 1.0
Z_0_5_0_1 1.0
Z_0_5_0_2 1.0
Z_0_5_1_1 1.0
Z_0_5_1_2 1.0
Z_0_5_2_1 1.0
Z_0_5_2_2 1.0
Z_1_0_0_1 1.0
Z_1_0_0_2 1.0
Z_1_3_0_1 1.0
Z_1_3_0_2 1.0
Z_1_4_0_2 1.0
Z_1_5_0_1 1.0
Z_1_5_0_2 1.0
Z_2_0_0_1 1.0
Z_2_0_0_2 1.0
Z_2_0_1_1 1.0
Z_2_0_1_2 1.0
Z_2_0_2_1 1.0
Z_2_0_2_2 1.0
Z_2_1_0_0 1.0
Z_2_1_0_1 1.0
Z_2_1_0_2 1.0
Z_2_1_1_0 1.0
Z_2_1_1_1 1.0
Z_2_1_1_2 1.0
Z_2_1_2_0 1.0
Z_2_1_2_1 1.0
Z_2_1_2_2 1.0
Z_2_3_0_0 1.0
Z_2_3_0_1 1.0
Z_2_3_0_2 1.0
Z_2_3_1_0 1.0
Z_2_3_1_1 1.0
Z_2_3_1_2 1.0
Z_2_3_2_0 1.0
Z_2_3_2_1 1.0
Z_2_3_2_2 1.0
Z_2_4_0_2 1.0
Z_2_4_1_0 1.0
Z_2_4_1_2 1.0
Z_2_4_2_0 1.0
Z_2_4_2_1 1.0
Z_2_4_2_2 1.0
Z_2_5_0_0 1.0
Z_2_5_0_1 1.0
Z_2_5_0_2 1.0
Z_2_5_1_0 1.0
Z_2_5_1_1 1.0
Z_2_5_1_2 1.0
Z_2_5_2_0 1.0
Z_2_5_2_1 1.0
Z_2_5_2_2 1.0
Z_3_0_0_1 1.0
Z_3_0_0_2 1.0
Z_3_1_0_1 1.0
Z_3_1_0_2 1.0
Z_3_1_1_1 1.0
Z_3_1_1_2 1.0
Z_3_4_0_2 1.0
Z_3_5_0_1 1.0
Z_3_5_0_2 1.0
Z_3_5_1_1 1.0
Z_3_5_1_2 1.0
Z_4_0_0_1 1.0
Z_4_0_0_2 1.0
Z_4_0_1_1 1.0
Z_4_0_1_2 1.0
Z_4_1_0_0 1.0
